gsmc,gzdd,gxsj,zwmc,zwyx
中联佳裕科技（北京）有限公司,烟台 - 开发区,12-05,JAVA研发工程师,4001-6000
中联佳裕科技（北京）有限公司,烟台 - 开发区,11-30,JAVA研发工程师,6001-8000
中联佳裕科技（北京）有限公司,烟台 - 开发区,11-30,数字化医院.Net开发,4001-6000
中联佳裕科技（北京）有限公司,烟台 - 开发区,12-09,JAVA研发工程师,6001-8000
北京艺耘诺布投资管理有限公司,烟台,12-12,java/c/c++软件工程师实习生带薪实训,6001-8000
烟台浩园软件有限公司,烟台,12-14,软件服务人员,2001-4000
烟台向量土木工程咨询有限公司,烟台,12-14,CAD软件二次开发项目负责人（C#/C++）,15001-20000
烟台向量土木工程咨询有限公司,烟台,12-17,C#程序员,6001-8000
烟台浩园软件有限公司,烟台,12-14,pb软件开发人员,4001-6000
烟台浩园软件有限公司,烟台,12-14,pb软件开发人员,2001-4000
烟台天一电气设备工程有限公司,烟台 - 福山区,11-29,电气工程师,4001-6000
北京大福融通智能科技有限公司,烟台,12-17,【实时结算】手机APP试玩全/兼职【苹果、安卓皆可在家工作】,30001-50000
北京大福融通智能科技有限公司,烟台,12-17,【实时结算】手机APP试玩全/兼职【苹果、安卓皆可在家工作】,30001-50000
北京蓝色曙光信息技术有限公司,烟台,12-17,银行9K急聘！云计算运维/JAVA开发/软件工程师定岗生（转正）,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-17,Java大数据软件工程师 国企入职前内训,6001-8000
云唯+,烟台,12-17,国企8k云计算工程师（前期免费”零基础”岗前培训）,8001-10000
中青才智教育投资(北京)有限公司,烟台,12-16,WEB/H5前端开发委培工程师,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-16,WEB/H5前端开发委培工程师,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-16,WEB/H5前端开发国企委培工程师,6001-8000
烟台思途软件科技有限公司,烟台 - 莱山区,12-16,实习生3000+五险一金,4001-6000
北京大福融通智能科技有限公司,烟台,12-16,【实时结算】手机APP试玩全/兼职【苹果、安卓皆可在家工作】,30001-50000
北京大福融通智能科技有限公司,烟台,12-16,【实时结算】手机APP试玩全/兼职【苹果、安卓皆可在家工作】,30001-50000
烟台市其然软件科技有限公司,烟台 - 莱山区,12-16,Java讲师,8000-12000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,Android/安卓开发实训生,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-16,急招软件测试实习生双休+五险一金,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-16,Android/安卓开发实训生,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-16,Android/安卓开发实训生,2001-4000
烟台思途软件科技有限公司,烟台,12-16,理工科实习生IT+双休,2001-4000
烟台市丰汇商务信息咨询有限公司,烟台 - 芝罘区,12-16,金融储备人才(五险一金+双休),6001-8000
云唯+,烟台,12-15,国企8k云计算工程师（前期免费”零基础”岗前培训）,8001-10000
北京联招教育文化有限公司,烟台,12-15,银行技术支持/系统运维工程师(北京国企/银行定岗实训）,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-15,WEB/H5前端开发国企定岗委培工程师,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-15,WEB/H5前端开发工程师委培定岗,6001-8000
北京中宇华兴科技有限公司,北京,12-17,.NET开发工程师,8001-10000
陕西天蕴网络科技有限公司,北京 - 海淀区,12-17,/提供三餐 工作环境开放 学习导向型团队\Android手机开发工程师,8001-10000
北京蓝汛通信技术有限责任公司,北京,12-17,架构师,30001-50000
乐元素,北京,12-17,BI 高级/资深数据分析师,20001-30000
北京多牛互动传媒股份有限公司,北京 - 海淀区,12-17,WEB前端工程师,10001-15000
中软卓越,北京,12-17,2016应届毕业生（计算机开发及网络方向）,4001-6000
中软卓越,北京,12-17,IT互联网开发/计算机实习/项目经理带,6001-8000
北京蚁视科技有限公司,北京 - 海淀区,12-17,C#工程师,15001-20000
广东溢达科技有限公司,北京 - 海淀区,12-17,急招SEO推广五险一金,4001-6000
陕西天蕴网络科技有限公司,北京 - 海淀区,12-17,应届生优先 Android手机开发工程师 (包住宿 可实习),4001-6000
北京金惠新悦科技有限公司,北京,12-17,Java工程师,8001-10000
陕西天蕴网络科技有限公司,北京 - 海淀区,12-17,$福利完善 前景好 年底奖金 $Android手机开发工程师,8001-10000
广东晋佑科技股份有限公司,北京 - 海淀区,12-17,web前端设计师高薪包吃住,4001-6000
北京大德宽广科技有限公司,北京,12-17,大数据产品开发工程师,15001-20000
中软卓越,北京,12-17,项目经理助理,6001-8000
北京博宏慧点科技有限公司,北京 - 朝阳区,12-17,SAP PM顾问,10001-15000
上海迈外迪网络科技有限公司北京分公司,北京,12-17,高级WEB前端工程师,15000-25000
北京天神互动科技有限公司,北京,12-17,游戏制作人,25000-50000
广东麦菲尔膜科技有限公司,北京 - 海淀区,12-17,初级PHP程序员年底双薪,4001-6000
红火台餐饮云服务有限公司,北京 - 海淀区,12-17,架构师,30000-50000
新航路师徒学院,北京,12-17,云计算运维工程师（零基础转行可投）,8001-10000
北京科瑞明软件有限公司,北京,12-17,ETL工程师/BI工程师/数据库工程师,4000-8000
北京蚁视科技有限公司,北京,12-17,windows桌面开发工程师,15001-20000
乐元素,北京,12-17,数值策划,15001-20000
之间网信息技术(北京)有限公司,北京 - 海淀区,12-17,高级IOS工程师,20001-30000
广东会圆宝科技有限公司,北京,12-17,Web前端开发+包吃住（应届生亦可）,4001-6000
之间网信息技术(北京)有限公司,北京 - 海淀区,12-17,高级Android工程师,20001-30000
北京心联网科技有限公司,北京,12-17,PHP实习生,2001-4000
北京锐安科技有限公司,北京,12-17,数据分析师,15001-20000
北京汇众益智科技有限公司,北京,12-17,游戏设计年薪20万（先学习后安排入职）,10001-15000
北京时代创信科技有限公司,北京,12-17,资深网页设计师,5000-10000
中软卓越,北京,12-17,急聘+安卓开发工程师储备生+尽快到岗,4001-6000
中软卓越,北京,12-17,Java助理学徒岗+人才储备（应届）,4001-6000
京宝融(北京)金融服务外包有限公司,北京,12-17,java服务端工程师,12000-24000
北京捷成世纪科技股份有限公司,北京,12-17,需求分析师,10001-15000
北京市利国电子技术有限公司,北京 - 海淀区,12-17,嵌入式软件工程师,8000-12000
中软卓越,北京,12-17,2016届毕业生（JAVA开发方向）,4001-6000
杭州启飞智能科技有限公司,北京,12-17,导航制导与控制算法工程师,6000-10000
中软卓越,北京,12-17,网页前端设计（应届生）,6001-8000
北京嘉合盛汇科技信息有限公司,北京 - 朝阳区,12-17,高级JAVA开发工程师,15001-20000
北京精彩乐现科技有限公司,北京 - 海淀区,12-17,流媒体服务器开发（RTMP、HLS、RTSP方向）年薪50-80万+期权,30001-50000
北京凯视佳光电设备有限公司,北京,12-17,机器视觉系统算法部门主管,15001-20000
阳光印易(北京)信息技术有限公司,北京,12-17,高级JAVA研发工程师,15000-25000
深圳市航宇测控科技有限公司,北京 - 海淀区,12-17,高级软件工程师,10000-20000
北京中宇华兴科技有限公司,北京,12-17,数据库开发工程师,8001-10000
北京锐安科技有限公司,北京 - 海淀区,12-17,助理研究员,15000-20000
北京天神互动科技有限公司,北京 - 东城区,12-17,数值策划,18000-22000
北京捷成世纪科技股份有限公司,北京 - 海淀区,12-17,Java高级开发工程师,8001-10000
北京捷成世纪科技股份有限公司,北京,12-17,java软件工程师（中、高级）,15001-20000
北京微影时代科技有限公司,北京 - 朝阳区,12-17,自然语言处理工程师,15000-30000
亿盛嘉德(北京)投资管理有限公司,北京 - 通州区,12-17,亿盛集团诚聘金融交易经理、助理—（零基础可带薪培训）,8001-10000
北京蚁视科技有限公司,北京 - 海淀区,12-17,高级VC++开发工程师,15001-20000
石化盈科信息技术有限责任公司,北京,12-17,JAVA开发高级工程师,10001-15000
建才(北京)信息技术有限公司,北京 - 海淀区,12-17,.net开发工程师,10001-15000
中软卓越,北京,12-17,JAVA开发助理+晋升+五险一金,4001-6000
北京银丰世纪科技有限公司,北京 - 朝阳区,12-17,web前端开发,10001-15000
会找房(北京)网络技术有限公司,北京,12-17,Python工程师,10000-20000
陕西天蕴网络科技有限公司,北京 - 海淀区,12-17,$平台稳定有发展$iOS应用开发和维护,8001-10000
建才(北京)信息技术有限公司,北京 - 海淀区,12-17,.net开发工程师#海淀,10001-15000
上海小蚁科技有限公司,北京,12-17,行政总监,15001-20000
中青才智教育投资(北京)有限公司,烟台,12-15,WEB/H5前端开发工程师委培定岗,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-15,WEB/H5前端开发委培工程师,6001-8000
北京联招教育文化有限公司,烟台,12-15,银行技术支持/系统运维工程师(北京国企/银行定岗实训）,6001-8000
烟台喜纳里网络科技有限公司,烟台,12-15,高薪急聘游戏开发人员,10001-15000
烟台思途软件科技有限公司,烟台 - 莱山区,12-15,IT学徒(零基础)4K+,4001-6000
云唯+,烟台,12-15,国企8k大数据开发工程师（免费”零基础”岗前培训）,8001-10000
烟台喜纳里网络科技有限公司,烟台,12-15,游戏开发,15001-20000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-14,UI/UE设计/讲师待遇优,3000-5000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-14,实习生/学徒,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-14,诚聘网站优化专员五险一金+双休,2001-4000
山东软程互联科技有限公司烟台分公司,烟台,12-14,4-6000诚招java开发实习生(可接受零基础的),6001-8000
烟台牧哲信息技术有限公司,烟台,12-13,Java实习生3500+,4001-6000
突起四方(北京)科技有限公司,烟台,12-10,诚招JAVA开发和实习生+包住+8千,6001-8000
烟台创鑫自动化科技有限公司,烟台,12-07,软件开发与现场维护,3000-5000
中青才智教育投资(北京)有限公司,烟台,12-15,国企招WEB/Htlm5前端开发委培工程师,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-16,国企招WEB/HTLM5前端开发留用实习生,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-16,国企招WEB/Htlm5前端开发实习工程师（先实训后转正）,6001-8000
北京大福融通智能科技有限公司,烟台,12-16,手机APP试玩【苹果、安卓皆可】【在家可做】,30001-50000
中青才智教育投资(北京)有限公司,烟台,12-17,java程序员、软件工程师实习+转正,4001-6000
大连玩咖智能科技有限公司,烟台,12-17,手机APP试玩【苹果、安卓皆可】【在家可做】,30001-50000
烟台好我信息技术有限公司,烟台,12-15,android讲师,4000-7000
中青才智教育投资(北京)有限公司,烟台,12-17,java程序员、软件工程师实习 +转正,4001-6000
中青才智教育投资(北京)有限公司,烟台,12-15,java软件工程师及大数据+云计算研发工程师就业直通车,4001-6000
中青才智教育投资(北京)有限公司,烟台,12-17,WEB/HTLM5前端开发委培工程师,6001-8000
中青才智教育投资(北京)有限公司,烟台,12-17,Java程序员   园区定岗实习软件工程师,4001-6000
大连玩咖智能科技有限公司,烟台,12-17,【在家可做】手机APP试玩兼职/全职（苹果、安卓皆可）,30001-50000
大连玩咖智能科技有限公司,烟台,12-15,【在家可做】手机APP试玩兼职/全职（苹果、安卓皆可）,30001-50000
大连玩咖智能科技有限公司,烟台,12-16,【1小时赚30元】手机APP试玩【苹果、安卓皆可】,30001-50000
大连玩咖智能科技有限公司,烟台,12-17,【在家可做】手机APP试玩【苹果、安卓皆可】,30001-50000
大连玩咖智能科技有限公司,烟台,12-17,【在家可做】手机APP试玩兼职/全职（苹果、安卓皆可）,30001-50000
北京蓝色曙光信息技术有限公司,烟台,12-15,国企云计算大数据实习生(零基础，前期免费岗前培训),6001-8000
北京联招教育文化有限公司,烟台,12-17,银行8K网络运维实习生(零基础，前期免费岗前培训),7000-10000
大连玩咖智能科技有限公司,烟台,12-17,【在家工作】手机APP试玩【苹果、安卓皆可】,30001-50000
山东海文信息技术有限公司烟台分公司,烟台,12-17,大数据实习工程师（应届）,2001-4000
大连玩咖智能科技有限公司,烟台,12-16,【在家工作】手机APP试玩【苹果、安卓皆可】,30001-50000
中软高科（北京）科技有限公司,烟台,12-17,6K起薪 Java Android web前端 通过实训转IT行业速进,4001-6000
中软高科（北京）科技有限公司,烟台,12-17,毕业生首选就业平台（Java软件开发实训）就业薪资有保证,6001-8000
中软高科（北京）科技有限公司,烟台,12-17,Java软件开发工程师（★大学生就业平台★补助★定岗实训★）,6001-8000
中软高科（北京）科技有限公司,烟台,12-17,毕业生 转行 跳槽 首选Java软件研发工程师实训平台,6001-8000
中软高科（北京）科技有限公司,烟台,12-17,四个月造梦 毕业生首选 Java软件开发实训平台,6001-8000
润斯顿中关村软件人才中心,烟台,12-17,Linux运维 网络管理 系统维护工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-17,网络管理 系统维护 Linux运维工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-17,网络管理 系统维护 Linux运维工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-17,Linux运维 网络管理 系统维护工程师定岗生,6001-8000
中软高科（北京）科技有限公司,烟台,12-17,Java软件开发（大学生就业★转行★跳槽最好的选择）,6001-8000
中软高科（北京）科技有限公司,烟台,12-17,无经验 转Android 有无Java基础均可,6001-8000
北京联招教育文化有限公司,烟台,12-17,银行急聘！9K技术支持/软件/网络运维/系统管理工程师助理,6001-8000
北京蓝色曙光信息技术有限公司,烟台,12-17,急聘！国企8K云计算/系统集成/技术支持实习生+转正,6001-8000
北京蓝色曙光信息技术有限公司,烟台,12-17,银行8K大数据工程师(零基础，前期免费岗前培训),6001-8000
云唯+,烟台,12-17,国企8k云计算工程师（免费”零基础”岗前培训）,8001-10000
云唯+,烟台,12-17,国企8k云计算工程师（免费”零基础”岗前培训）,8001-10000
LRテックス株式会社,北京,12-17,赴日软件工程师,15001-20000
云唯加(北京)信息技术有限公司,烟台,12-17,找的是人才拼的是高薪,8000-12000
烟台鲁科思科技有限公司,烟台,12-16,赴日软件开发程序员,8001-10000
北京瑞明恒通科技有限公司,烟台,12-16,Java软件开发高级工程师8k起,6001-8000
烟台思途软件科技有限公司,烟台,12-16,文理科实习生IT+双休,2001-4000
阳光印易(北京)信息技术有限公司,北京 - 朝阳区,12-17,JAVA开发工程师（Lucene方向）,15000-25000
北京东华原医疗设备有限责任公司,北京 - 昌平区,12-17,c#软件工程师,10001-15000
陕西天蕴网络科技有限公司,北京 - 海淀区,12-17,iOS应用开发和维护【 双休、不打卡、环境优美、交通方便】,8001-10000
润斯顿中关村软件人才中心,烟台,12-16,网络管理 系统维护 Linux运维工程师定岗生,6001-8000
北京华为云端科技有限公司济南分公司,烟台,12-16,计算机IT专业培训★无经验0基础优先★成就高薪就业梦想,6001-8000
北京蓝色曙光信息技术有限公司,烟台,12-16,上市公司急聘！云计算/大数据开发/软件/网络/虚拟化工程师助理,6001-8000
北京联招教育文化有限公司,烟台,12-16,数据库工程师/软件工程师 （北京国企/银行岗位，零基础实训）,7000-12000
陕西天蕴网络科技有限公司,北京 - 海淀区,12-17,【iOS应用开发和维护】“13薪水、季度奖金、季度调薪、年终奖”,8001-10000
中软卓越,北京,12-17,WEB前端开发实习岗,4001-6000
北京联招教育文化有限公司,烟台,12-16,技术支持/系统运维 银行8K实习生 (零基础，前期免费岗前培训),6001-8000
北京蚁视科技有限公司,北京 - 海淀区,12-17,高级安卓开发工程师（视频）,10001-15000
北京华友联创科技发展有限公司,北京,12-17,测试,8001-10000
中软卓越,北京,12-17,初级软件开发实习生(双休+应届生）,6001-8000
上海迈外迪网络科技有限公司北京分公司,北京 - 朝阳区,12-17,高级PHP工程师,15001-20000
中软卓越,北京,12-17,java百度定制培养（应届生+五险双休）,4001-6000
北京大德宽广科技有限公司,北京,12-17,系统工程师,25000-30000
北京汇众益智科技有限公司,北京,12-17,计算机网络游戏技术岗前实训生,10001-15000
万科链家(北京)装饰有限公司,北京,12-17,ERP开发工程师,15001-20000
北京智象信息技术有限公司,北京 - 朝阳区,12-17,UI设计实习生,2001-4000
北京微影时代科技有限公司,北京 - 朝阳区,12-17,Android高级开发工程师,20001-30000
广东会圆宝科技有限公司,北京 - 海淀区,12-17,网络急招PHP工程师五险一金,4001-6000
神州共途(北京)信息系统有限公司,北京 - 海淀区,12-17,高级技术经理,10000-18000
北京趣加科技有限公司,北京 - 海淀区,12-17,移动端音视频高级工程师-海外直播APP-MeMe直播,17000-34000
北京海瑞盛典文化发展有限公司,北京,12-17,五险一金+高薪诚聘平面设计及实习生可接受应届生,6001-8000
北京银丰世纪科技有限公司,北京,12-17,PHP工程师,10001-15000
北京捷成世纪科技股份有限公司,北京 - 海淀区,12-17,JAVA工程师（急招）,6001-8000
北京百程国际旅游股份有限公司,北京 - 朝阳区,12-17,java研发工程师,10001-15000
北京四三九九信息科技有限公司,北京,12-17,游戏策划（数值、关卡、系统、战斗）,15000-25000
迈锐数据(北京)有限公司,北京,12-17,linux软件工程师,10000-20000
北京翼聚源软件科技有限公司,北京,12-17,.net工程师,10001-15000
北京华友联创科技发展有限公司,北京,12-17,java 软件工程师,10001-15000
北京汇众益智科技有限公司,北京,12-17,游戏开发（无基础可培养）,5000-10000
北京科迈网通讯技术有限公司,北京,12-17,node.js中级工程师,15001-20000
北京大德宽广科技有限公司,北京,12-17,核心软件研发人员,25000-30000
北京中创立方软件有限公司,北京,12-17,c#工程师,8001-10000
北京伟业环亚文化发展有限公司,北京,12-17,五险一金+高薪诚聘平面设计及实习生可接受应届生,8001-10000
北京欧维博思软件有限公司,北京 - 朝阳区,12-17,VC++软件工程师 VC++ Software Engineer,8000-15000
北京络捷斯特科技发展股份有限公司,北京,12-17,java高级工程师（SpringMVC移动互联网方向）,10001-15000
阳光印易(北京)信息技术有限公司,北京 - 朝阳区,12-17,Java开发工程师,15000-25000
中软卓越,北京,12-17,WEB前端实习生+上市+高薪,4001-6000
石化盈科信息技术有限责任公司,北京,12-17,JAVA开发工程师,8001-10000
京宝融(北京)金融服务外包有限公司,北京,12-17,PHP中高级程序员,10001-15000
中软卓越,北京,12-17,手机软件开发实习生（欢迎应届生+五险一金）,6001-8000
北京喂呦科技有限公司,北京,12-17,HTML5开发工程师,8001-10000
北京精彩乐现科技有限公司,北京 - 海淀区,12-17,ios高级研发经理【年薪50万+期权】,30001-50000
北京锐安科技有限公司,北京,12-17,软件系统架构师,20001-30000
北京开科唯识技术有限公司,北京 - 朝阳区,12-17,java软件开发工程师-东三环,8000-15000
彩讯科技股份有限公司,北京,12-17,研发工程师（实习）,5000-7000
会找房(北京)网络技术有限公司,北京,12-17,高级Java,15000-30000
北京有明信息技术股份有限公司,北京,12-17,SAP MM顾问,10001-15000
北京三好互动教育科技有限公司,北京,12-17,市场文案策划,15000-25000
北京利物融通信息技术有限公司,北京,12-17,JAVA开发工程师,面议
武汉维尔仕新能源产业有限公司,北京,12-17,网站设计`网站开发`网站优化`网站制作`网站推广`网站维护,4001-6000
北京微影时代科技有限公司,北京,12-17,架构师,20001-30000
北京锐安科技有限公司,北京 - 东城区,12-17,软件系统架构师,15001-20000
吉林省松花湖国际度假区开发有限公司,北京,12-17,数据分析师（万科集团冰雪事业部）,15001-20000
上海小蚁科技有限公司,北京 - 海淀区,12-17,资深Android开发工程师（互联网）,15000-25000
北京精彩乐现科技有限公司,北京 - 海淀区,12-17,PHP开发工程师 【年薪40-50万+期权】,30001-50000
飞立股份有限公司,北京,12-17,C++研发中/高级工程师,8000-16000
北京锐安科技有限公司,北京 - 海淀区,12-17,JAVA数据挖掘工程师,10001-15000
北京趣加科技有限公司,北京 - 海淀区,12-17,Android Lead/高级开发工程师-海外直播移动平台,17000-34000
顽石互动(北京)网络科技有限公司,北京 - 朝阳区,12-17,游戏UI设计师,11000-16000
北京多牛互动传媒股份有限公司,北京 - 海淀区,12-17,JS前端开发工程师,10001-15000
天津美源星商贸有限公司,北京,12-17,.NET开发工程师,10001-15000
中软高科（北京）科技有限公司,烟台,12-16,Java实训（大学生就业平台）,6001-8000
中软高科（北京）科技有限公司,烟台,12-16,企业直招Java软件工程师（无经验也可）,6001-8000
中软高科（北京）科技有限公司,烟台,12-16,招收软件开发程序员,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,java实训生定岗+包住,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,零基础java程序员（就业+住宿）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,华为高科急聘Java实训生包住宿,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,高薪诚聘软件开发人员,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,2016毕业生初级软件开发工程师,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,2016届毕业生软件开发就业,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,高薪急聘软件开发工程师,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,招java大数据软件开发,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,零基础Java程序员就业加住宿,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,零基础Java程序员就业加住宿,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,软件开发实习生可零基础,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,4k以上招理工科相关专业待业者,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,软件开发实习生（Android/Java）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,零基础Java程序员就业加住宿,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,国企定岗软件开发实训生（五险+双休）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,百分百对口安置（就业+住宿）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,软件园年前急聘28岁以下待业者不限经验专业,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,4K起招零基础Java程序员（就业+住宿）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,互联网行业+28岁以下培训生+周末双休五险一金,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,Java 初级程序员软件工程师实习生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-16,5K企业直招软件实习生不限专业,6001-8000
润斯顿中关村软件人才中心,烟台,12-16,网络管理 系统维护 Linux运维工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-16,Linux运维 网络管理 系统维护工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-16,Linux运维网络管理 系统维护工程师定岗实习生,6001-8000
润斯顿中关村软件人才中心,烟台,12-16,网络管理 系统维护 Linux运维工程师定岗生,6001-8000
北京蓝色曙光信息技术有限公司,烟台,12-15,国企云计算/大数据/Linux/系统运维/网络工程师助理,6001-8000
中软高科（北京）科技有限公司,烟台,12-15,4个月造梦 java android 软件开发实训 急招 应届毕业生,6001-8000
中软高科（北京）科技有限公司,烟台,12-15,Java android 软件开发实训生 应届生首选平台,6001-8000
北京理博软件科技有限公司,烟台,12-15,高薪招聘Java软件开发实习生,8001-10000
中软高科（北京）科技有限公司,烟台,12-15,急聘WEB前端开发工程师实习岗,6001-8000
中软高科（北京）科技有限公司,烟台,12-15,5K聘企业定制Java实习生,4001-6000
中软高科（北京）科技有限公司,烟台,12-15,java开发程序员,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台 - 莱山区,12-15,高薪招聘Java+大数据工程6k+保底急聘应届生+提供住宿,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,大数据软件开发留用实训生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,大数据软件开发留用实训生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,招java大数据软件开发,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,零基础java软件工程师+实习生双休包住宿,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,Java软件实习生（应往届）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,java开发助理,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,4-6K招零基础技术储备（实习转入职）,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-15,5K聘软件开发实习生双休,6001-8000
烟台牧哲信息技术有限公司,烟台,12-15,C#开发实习生 双休3500+,2001-4000
清软高科(北京)科技有限公司,烟台,12-15,UI开发招聘7K起应届生+提供住宿,6001-8000
清软高科(北京)科技有限公司,烟台 - 芝罘区,12-15,5k招java开发实习生,6001-8000
文思海辉技术有限公司 Pactera Technology International Limited,烟台,12-15,BI工程师,面议
润斯顿中关村软件人才中心,烟台,12-15,网络管理 系统维护 Linux运维工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-15,网络管理呗 系统维护 Linux运维工程师定岗生,6001-8000
山东软程互联科技有限公司烟台分公司,烟台,12-15,5-8000急招软件开发实习生  可培训,4001-6000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,华为安卓软件人才储备计划理工专业待业者转行软件开发,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,初级java程序员软件开发工程师定岗实习生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,6K起Java程序员定岗实习生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,Java银行定岗实训生（实训转入职+零基础）,6001-8000
北京龙君时代文化传媒有限责任公司,北京 - 顺义区,12-17,高薪诚聘网页设计/网页制作助理学徒供食宿可带实习生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,2016届软件开发实习生+应届生,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,毕业生软件开发就业7K,6001-8000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,8K诚聘银行系统开发实训生,6001-8000
广东溢达科技有限公司,北京 - 西城区,12-17,网络急招UI设计师待遇从优,4001-6000
上海小蚁科技有限公司,北京,12-17,数据挖掘工程师（机器学习）,15001-20000
北京精彩乐现科技有限公司,北京 - 海淀区,12-17,高级andriod研发经理【年薪40-60万】+期权,30001-50000
华为高科(北京)软件有限公司山东分公司,烟台,12-14,Java实训生包住宿（2016届毕业生优先）,6001-8000
烟台三环科技有限公司,烟台,12-14,JAVA软件工程师,6001-8000
北京易诚互动网络技术有限公司,北京 - 西城区,12-17,需求工程师（北京）,13000-18000
京宝融(北京)金融服务外包有限公司,北京,12-17,java前端工程师,12000-18000
北京富邦汇融资产管理有限公司,北京,12-17,共筑钱途 诚聘金融交易员/操盘手 比会计更好的选择 五险+高薪,10001-15000
建才(北京)信息技术有限公司,北京 - 海淀区,12-17,建筑行业聘.NET工程师,8000-15000
北京汇众益智科技有限公司,北京,12-17,急聘学员/挑战年薪15万不是梦,8001-10000
中国工艺艺术品交易所有限公司,北京 - 朝阳区,12-17,C-005 美术设计-交易中心,6001-8000
北京微影时代科技有限公司,北京 - 朝阳区,12-17,算法工程师,20000-35000
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG10-交互设计师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,17757-前端开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,WXG01-微信搜索后台开发高级工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG231-后台开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG184-腾讯网移动终端android工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG231-机器学习高级算法工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG231-Spark高级研发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SA-腾讯社交广告系统后台开发高级工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG16-搜索架构高级工程师(北京),面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG15-语音合成算法研究员,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG16-后台研发高级工程师(北京),面议
